Line #,Fitted,Rev,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2
"28","Fitted","","KB DELPS2.DI-THVG-2J8L-Z555","Blue 466nm LED Indication - Discrete 2.8V 2-SMD 0603","LED2","1","Osram Opto","KB DELPS2.DI-THVG-2J8L-Z555","",""
"29","Fitted","","LA0151CS-TLM-E","Optical Sensor Ambient 550nm Current 4-WFBGA, CSPBGA","U5","1","ON Semiconductor","LA0151CS-TLM-E","",""
"30","Fitted","","LMV981MG/NOPB","General Purpose Amplifier 1 Circuit Rail-to-Rail SC-70-6","U14, U16, U18","3","TI National Semiconductor","LMV981MG/NOPB","",""
"31","Fitted","","LSS-110-02-L-DV-A-K-TR","20 Position Connector Self Mating, Non-Gendered Surface Mount Gold","P1","1","Samtec","LSS-110-02-L-DV-A-K-TR","",""
"32","Not Fitted","","LTST-C191KGKT","Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric)","LED4","0","Vishay Lite-On","LTST-C191KGKT","",""
"33","Fitted","","LTST-C191KRKT","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)","LED1","1","Vishay Lite-On","LTST-C191KRKT","",""
"33","Not Fitted","","LTST-C191KRKT","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)","LED3","0","Vishay Lite-On","LTST-C191KRKT","",""
"34","Fitted","","MCP1501T-25E/RW","Series Voltage Reference IC 2.5V ±0.1%  8-WDFN (2x2)","U20","1","Microchip","MCP1501T-25E/RW","",""
"35","Fitted","","MCP1643-I/MC","LED Driver IC 1 Output DC DC Regulator Step-Up (Boost) PWM Dimming 550mA 8-DFN (2x3)","U15","1","Microchip","MCP1643-I/MC","",""
"36","Fitted","","MLZ1608M220WT000","22µH Shielded Multilayer Inductor 150mA 2.4Ohm 0603 (1608 Metric)","L4","1","TDK","MLZ1608M220WT000","",""
"37","Fitted","","MMBT3906-7-F","TRANS PNP 40V 0.2A SOT23-3","Q2","1","Diodes Zetex","MMBT3906-7-F","",""
"38","Fitted","","MX25V1635FZUI","FLASH - NOR Memory IC 16Mb (2M x 8) SPI - Quad I/O 80MHz  8-USON (2x3)","U9","1","Macronix","MX25V1635FZUI","",""
